product_name,price_with_discount,url
/ Камера видеонаблюдения уличная Wi-Fi,1 806 ₽,https://www.wildberries.ru/catalog/166300199/detail.aspx
/ Удлинитель питания для камер видеонаблюдения 20 метров,1 080 ₽,https://www.wildberries.ru/catalog/76011938/detail.aspx
/ Удлинитель питания камеры видеонаблюдения 10 метров,367 ₽,https://www.wildberries.ru/catalog/150454939/detail.aspx
"/ Удлинитель питания DC 2.1x5.5, 15 м",486 ₽,https://www.wildberries.ru/catalog/182802309/detail.aspx
/ Камера видеонаблюдения видео-няня,952 ₽,https://www.wildberries.ru/catalog/73609857/detail.aspx
/ Камера видеонаблюдения уличная ip от 4G сим карты 3MP,2 393 ₽,https://www.wildberries.ru/catalog/99884072/detail.aspx
/ Камера видеонаблюдения уличная для дома с сим картой,1 997 ₽,https://www.wildberries.ru/catalog/167779319/detail.aspx
/ Удлинитель питания для камер видеонаблюдения 10 метров,640 ₽,https://www.wildberries.ru/catalog/76008243/detail.aspx
/ Камера видеонаблюдения уличная для дома,2 926 ₽,https://www.wildberries.ru/catalog/171869138/detail.aspx
/ Камера видеонаблюдения уличная wifi ip двойная 3MP,1 983 ₽,https://www.wildberries.ru/catalog/164358018/detail.aspx
/ Скрытая Мини камера видеонаблюдения Wi Fi,1 896 ₽,https://www.wildberries.ru/catalog/154492954/detail.aspx
/ Камера видеонаблюдения уличная wi-fi поворотная 3МП для дома,1 599 ₽,https://www.wildberries.ru/catalog/165242024/detail.aspx
